Class,same,uchangedLines,deleted,added,changed,all, differenceSection
 apache\xalan\xsltc\compiler\Copy.java,165,2,2,9,8,27,2
 apache\xalan\xsltc\compiler\CopyOf.java,157,4,1,11,7,26,4
 apache\xalan\xsltc\compiler\CurrentCall.java,73,2,0,0,2,4,1
 apache\xalan\xsltc\compiler\DecimalFormatting.java,256,13,6,12,7,32,8
 apache\xalan\xsltc\compiler\DocumentCall.java,178,13,4,15,4,27,8
 apache\xalan\xsltc\compiler\ElementAvailableCall.java,122,2,1,5,2,10,2
 apache\xalan\xsltc\compiler\EqualityExpr.java,370,2,4,23,1,29,5
 apache\xalan\xsltc\compiler\Expression.java,254,3,3,13,1,18,2
 apache\xalan\xsltc\compiler\Fallback.java,110,3,4,0,5,14,2
 apache\xalan\xsltc\compiler\FilteredAbsoluteLocationPath.java,132,2,1,8,1,11,2
 apache\xalan\xsltc\compiler\FilterExpr.java,199,2,0,8,4,16,2
 apache\xalan\xsltc\compiler\FilterParentPath.java,163,2,0,8,4,16,2
 apache\xalan\xsltc\compiler\FloorCall.java,78,3,0,1,2,5,1
 apache\xalan\xsltc\compiler\FlowList.java,148,2,0,3,2,7,2
 apache\xalan\xsltc\compiler\ForEach.java,210,5,1,14,11,37,7
 apache\xalan\xsltc\compiler\FormatNumberCall.java,140,2,1,9,1,12,2
 apache\xalan\xsltc\compiler\ForwardPositionExpr.java,0,71,0,38,0,38,10
 apache\xalan\xsltc\compiler\FunctionAvailableCall.java,177,37,33,19,22,96,21
 apache\xalan\xsltc\compiler\FunctionCall.java,708,141,38,179,57,331,88
 apache\xalan\xsltc\compiler\GenerateIdCall.java,84,3,0,3,3,9,2
 apache\xalan\xsltc\compiler\IdKeyPattern.java,147,2,0,25,2,29,7
 apache\xalan\xsltc\compiler\IdPattern.java,71,2,1,0,0,1,1
 apache\xalan\xsltc\compiler\If.java,138,2,0,2,6,14,2
 apache\xalan\xsltc\compiler\Import.java,165,2,2,9,8,27,8
 apache\xalan\xsltc\compiler\Include.java,195,3,2,13,10,35,10
 apache\xalan\xsltc\compiler\Instruction.java,81,2,0,4,1,6,1
 apache\xalan\xsltc\compiler\IntExpr.java,86,2,1,5,1,8,2
 apache\xalan\xsltc\compiler\Key.java,237,60,15,41,19,94,25
 apache\xalan\xsltc\compiler\KeyCall.java,319,30,14,26,7,54,11
 apache\xalan\xsltc\compiler\LangCall.java,118,2,1,8,1,11,2
 apache\xalan\xsltc\compiler\LastCall.java,89,17,47,4,9,69,15
 apache\xalan\xsltc\compiler\LiteralAttribute.java,111,2,0,5,2,9,2
 apache\xalan\xsltc\compiler\LiteralElement.java,418,2,1,2,6,15,4
 apache\xalan\xsltc\compiler\LiteralExpr.java,115,2,1,5,1,8,2
 apache\xalan\xsltc\compiler\LocalNameCall.java,104,2,0,3,3,9,1
 apache\xalan\xsltc\compiler\LocationPathPattern.java,134,4,0,7,1,9,3
 apache\xalan\xsltc\compiler\LogicalExpr.java,255,2,1,6,1,9,2
 apache\xalan\xsltc\compiler\Message.java,110,26,2,59,6,73,16
 apache\xalan\xsltc\compiler\Mode.java,1300,83,14,68,94,270,88
 apache\xalan\xsltc\compiler\NameBase.java,154,2,1,6,4,15,3
 apache\xalan\xsltc\compiler\NameCall.java,96,3,0,2,3,8,1
 apache\xalan\xsltc\compiler\NamespaceAlias.java,88,2,3,0,3,9,2
 apache\xalan\xsltc\compiler\NamespaceUriCall.java,98,2,0,2,3,8,1
 apache\xalan\xsltc\compiler\NodeTest.java,71,2,0,1,7,15,3
 apache\xalan\xsltc\compiler\NotCall.java,88,3,0,3,2,7,1
 apache\xalan\xsltc\compiler\Number.java,614,3,3,23,2,30,3
 apache\xalan\xsltc\compiler\NumberCall.java,99,3,1,3,1,6,2
 apache\xalan\xsltc\compiler\Otherwise.java,85,2,0,3,1,5,2
 apache\xalan\xsltc\compiler\Output.java,356,5,2,19,10,41,12
 apache\xalan\xsltc\compiler\Param.java,226,7,2,7,5,19,3
 apache\xalan\xsltc\compiler\ParameterRef.java,126,2,0,5,3,11,1
 apache\xalan\xsltc\compiler\ParentLocationPath.java,241,2,0,7,5,17,3
 apache\xalan\xsltc\compiler\ParentPattern.java,172,2,0,8,2,12,2
 apache\xalan\xsltc\compiler\Parser.java,1353,7,4,25,19,67,25
 apache\xalan\xsltc\compiler\Pattern.java,92,2,0,3,1,5,1
 apache\xalan\xsltc\compiler\PositionCall.java,89,9,30,4,10,54,7
 apache\xalan\xsltc\compiler\Predicate.java,539,12,9,32,7,55,10
 apache\xalan\xsltc\compiler\ProcessingInstruction.java,119,2,1,8,1,11,2
 apache\xalan\xsltc\compiler\ProcessingInstructionPattern.java,173,2,2,15,6,29,7
 apache\xalan\xsltc\compiler\RealExpr.java,86,2,1,5,1,8,2
 apache\xalan\xsltc\compiler\RelationalExpr.java,293,2,4,16,1,22,5
 apache\xalan\xsltc\compiler\RoundCall.java,89,3,0,5,2,9,1
 apache\xalan\xsltc\compiler\SimpleAttributeValue.java,105,2,1,5,1,8,2
 apache\xalan\xsltc\compiler\Sort.java,684,24,38,39,25,127,29
 apache\xalan\xsltc\compiler\StartsWithCall.java,120,2,1,6,1,9,2
 apache\xalan\xsltc\compiler\Step.java,453,39,36,15,9,69,21
 apache\xalan\xsltc\compiler\StepPattern.java,452,26,2,46,19,86,18
 apache\xalan\xsltc\compiler\StringCall.java,104,3,1,4,1,7,2
 apache\xalan\xsltc\compiler\StringLengthCall.java,85,3,2,5,0,7,2
 apache\xalan\xsltc\compiler\Stylesheet.java,994,16,18,31,20,89,19
 apache\xalan\xsltc\compiler\SymbolTable.java,287,2,2,1,1,5,4
 apache\xalan\xsltc\compiler\SyntaxTreeNode.java,771,51,3,74,17,111,23
 apache\xalan\xsltc\compiler\Template.java,321,4,1,5,5,16,3
 apache\xalan\xsltc\compiler\TestSeq.java,318,2,2,2,5,14,2
 apache\xalan\xsltc\compiler\Text.java,187,2,0,2,5,12,1
 apache\xalan\xsltc\compiler\TopLevelElement.java,100,2,1,2,3,9,2
 apache\xalan\xsltc\compiler\TransletOutput.java,146,7,2,16,4,26,7
 apache\xalan\xsltc\compiler\UnaryOpExpr.java,113,2,1,4,1,7,2
 apache\xalan\xsltc\compiler\UnionPathExpr.java,170,3,0,6,6,18,3
 apache\xalan\xsltc\compiler\UnparsedEntityUriCall.java,80,15,1,7,6,20,4
 apache\xalan\xsltc\compiler\UnresolvedRef.java,135,2,1,3,1,6,2
 apache\xalan\xsltc\compiler\UnsupportedElement.java,156,3,4,0,5,14,4
 apache\xalan\xsltc\compiler\UseAttributeSets.java,141,2,1,4,5,15,3
 apache\xalan\xsltc\compiler\ValueOf.java,88,54,3,29,5,42,10
 apache\xalan\xsltc\compiler\Variable.java,214,3,4,13,2,21,3
 apache\xalan\xsltc\compiler\VariableBase.java,292,2,0,4,5,14,2
 apache\xalan\xsltc\compiler\VariableRef.java,125,2,0,5,3,11,1
 apache\xalan\xsltc\compiler\VariableRefBase.java,171,2,1,0,1,3,1
 apache\xalan\xsltc\compiler\When.java,134,2,0,6,1,8,1
 apache\xalan\xsltc\compiler\Whitespace.java,561,2,0,6,12,30,2
 apache\xalan\xsltc\compiler\WithParam.java,174,2,0,7,3,13,2
