relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc
model\mdr\StateMachinesHelperMDRImpl.java,org.argouml.model.mdr.StateMachinesHelperMDRImpl,534,501,0,33,43,119
model\mdr\UmlFactoryMDRImpl.java,org.argouml.model.mdr.UmlFactoryMDRImpl,582,752,182,12,48,290
model\mdr\UmlHelperMDRImpl.java,org.argouml.model.mdr.UmlHelperMDRImpl,39,47,9,1,13,36
model\mdr\UseCasesFactoryMDRImpl.java,org.argouml.model.mdr.UseCasesFactoryMDRImpl,165,166,3,2,39,83
model\mdr\UseCasesHelperMDRImpl.java,org.argouml.model.mdr.UseCasesHelperMDRImpl,401,368,7,40,53,153
model\mdr\XmiHeaderProviderImpl.java,org.argouml.model.mdr.XmiHeaderProviderImpl,28,29,1,0,4,9
model\mdr\XmiReaderImpl.java,org.argouml.model.mdr.XmiReaderImpl,302,393,164,73,51,339
model\mdr\XmiReference.java,org.argouml.model.mdr.XmiReference,14,14,0,0,0,0
model\mdr\XmiReferenceProviderImpl.java,org.argouml.model.mdr.XmiReferenceProviderImpl,17,30,14,1,4,23
model\mdr\XmiReferenceResolverImpl.java,org.argouml.model.mdr.XmiReferenceResolverImpl,166,285,149,30,32,243
model\mdr\XmiWriterMDRImpl.java,org.argouml.model.mdr.XmiWriterMDRImpl,128,128,18,18,13,62
moduleloader\ModuleLoader2.java,org.argouml.moduleloader.ModuleLoader2,372,436,94,30,128,380
moduleloader\ModuleLoader2.java,org.argouml.moduleloader.ModuleStatus,29,29,0,0,0,0
moduleloader\SettingsTabModules.java,org.argouml.moduleloader.SettingsTabModules,141,104,17,54,6,83
notation\Notation.java,org.argouml.notation.Notation,88,91,6,3,1,11
notation\NotationNameImpl.java,org.argouml.notation.NotationNameImpl,107,99,1,9,3,16
notation\NotationProviderFactory2.java,org.argouml.notation.NotationProviderFactory2,117,130,15,2,16,49
notation\ui\NotationComboBox.java,org.argouml.notation.ui.NotationComboBox,49,49,0,0,0,0
notation\ui\SettingsTabNotation.java,org.argouml.notation.ui.SettingsTabNotation,202,247,45,0,25,95
ocl\ArgoFacade.java,org.argouml.ocl.ArgoAny,260,251,0,9,6,21
ocl\ArgoFacade.java,org.argouml.ocl.ArgoFacade,22,22,0,0,0,0
ocl\CriticOclEvaluator.java,org.argouml.ocl.CriticOclEvaluator,83,22,2,63,6,77
ocl\OCLEvaluator.java,org.argouml.ocl.OCLEvaluator,76,79,3,0,5,13
ocl\OCLExpander.java,org.argouml.ocl.OCLExpander,8,8,0,0,0,0
ocl\OCLUtil.java,org.argouml.ocl.OCLUtil,52,52,0,0,0,0
pattern\cognitive\critics\CrConsiderSingleton.java,org.argouml.pattern.cognitive.critics.CrConsiderSingleton,53,54,1,0,2,5
pattern\cognitive\critics\CrSingletonViolatedMissingStaticAttr.java,org.argouml.pattern.cognitive.critics.CrSingletonViolatedMissingStaticAttr,29,29,0,0,2,4
pattern\cognitive\critics\CrSingletonViolatedOnlyPrivateConstructors.java,org.argouml.pattern.cognitive.critics.CrSingletonViolatedOnlyPrivateConstructors,29,29,0,0,0,0
persistence\AbstractFilePersister.java,org.argouml.persistence.AbstractFilePersister,143,204,61,0,0,61
persistence\ArgoParser.java,org.argouml.persistence.ArgoParser,213,278,77,12,11,111
persistence\ArgoTokenTable.java,org.argouml.persistence.ArgoTokenTable,70,99,29,0,22,73
persistence\DiagramMemberFilePersister.java,org.argouml.persistence.DiagramMemberFilePersister,51,84,33,0,0,33
persistence\FigEdgeHandler.java,org.argouml.persistence.FigEdgeHandler,51,51,0,0,0,0
persistence\XmiInputStream.java,org.argouml.persistence.InterruptedIOException,10,10,0,0,2,4
persistence\MemberFilePersister.java,org.argouml.persistence.MemberFilePersister,42,45,6,3,2,13
persistence\ModelMemberFilePersister.java,org.argouml.persistence.ModelMemberFilePersister,206,225,35,16,29,109
persistence\PersistenceManager.java,org.argouml.persistence.MultitypeFileFilter,37,38,2,1,7,17
persistence\OffenderXMLHelper.java,org.argouml.persistence.OffenderXMLHelper,13,13,0,0,0,0
persistence\OldModelMemberFilePersister.java,org.argouml.persistence.OldModelMemberFilePersister,20,23,3,0,1,5
persistence\OldZargoFilePersister.java,org.argouml.persistence.OldZargoFilePersister,120,118,2,4,12,30
persistence\OpenException.java,org.argouml.persistence.OpenException,33,33,0,0,0,0
persistence\PGMLStackParser.java,org.argouml.persistence.PGMLStackParser,262,305,56,13,49,167
persistence\PersistenceException.java,org.argouml.persistence.PersistenceException,15,15,0,0,0,0
persistence\PersistenceManager.java,org.argouml.persistence.PersistenceManager,186,207,28,7,6,47
persistence\PgmlUtility.java,org.argouml.persistence.PgmlUtility,86,86,0,0,0,0
persistence\PrivateHandler.java,org.argouml.persistence.PrivateHandler,90,90,0,0,6,12
persistence\ResolvedCriticXMLHelper.java,org.argouml.persistence.ResolvedCriticXMLHelper,32,30,0,2,6,14
persistence\SAXParserBase.java,org.argouml.persistence.SAXParserBase,144,150,6,0,4,14
persistence\SaveException.java,org.argouml.persistence.SaveException,11,11,0,0,1,2
persistence\ToDoItemXMLHelper.java,org.argouml.persistence.ToDoItemXMLHelper,39,39,0,0,0,0
persistence\TodoListMemberFilePersister.java,org.argouml.persistence.TodoListMemberFilePersister,60,95,35,0,2,39
persistence\TodoParser.java,org.argouml.persistence.TodoParser,235,235,0,0,2,4
persistence\TodoTokenTable.java,org.argouml.persistence.TodoTokenTable,44,44,0,0,11,22
persistence\UmlFilePersister.java,org.argouml.persistence.UmlFilePersister,347,461,193,79,24,320
persistence\UmlVersionException.java,org.argouml.persistence.UmlVersionException,5,5,0,0,1,2
persistence\VersionException.java,org.argouml.persistence.VersionException,5,5,0,0,0,0
persistence\XMLElement.java,org.argouml.persistence.XMLElement,32,32,0,0,0,0
persistence\XMLTokenTableBase.java,org.argouml.persistence.XMLTokenTableBase,44,44,0,0,0,0
persistence\XmiFilePersister.java,org.argouml.persistence.XmiFilePersister,185,180,15,20,15,65
persistence\XmiFormatException.java,org.argouml.persistence.XmiFormatException,5,8,3,0,0,3
persistence\XmiInputStream.java,org.argouml.persistence.XmiInputStream,137,136,3,4,19,45
persistence\XmlFilePersister.java,org.argouml.persistence.XmlFilePersister,8,10,2,0,0,2
persistence\XmlInputStream.java,org.argouml.persistence.XmlInputStream,216,218,5,3,4,16
persistence\ZargoFilePersister.java,org.argouml.persistence.ZargoFilePersister,271,367,178,82,21,302
persistence\ZipFilePersister.java,org.argouml.persistence.ZipFilePersister,139,124,3,18,16,53
swingext\GlassPane.java,org.argouml.swingext.GlassPane,79,81,2,0,1,4
swingext\SpacerPanel.java,org.argouml.swingext.SpacerPanel,9,9,0,0,0,0
ui\AboutBox.java,org.argouml.ui.AboutBox,187,217,37,7,2,48
ui\AbstractArgoJPanel.java,org.argouml.ui.AbstractArgoJPanel,62,15,1,48,10,69
ui\ActionExportXMI.java,org.argouml.ui.ActionExportXMI,39,39,0,0,0,0
ui\ActionImportXMI.java,org.argouml.ui.ActionImportXMI,59,59,0,0,0,0
ui\ActionProjectSettings.java,org.argouml.ui.ActionProjectSettings,15,15,0,0,2,4
ui\ActionSettings.java,org.argouml.ui.ActionSettings,14,14,0,0,0,0
ui\ArgoJMenu.java,org.argouml.ui.ArgoJMenu,46,46,0,0,0,0
ui\CheckboxTableModel.java,org.argouml.ui.CheckboxTableModel,58,58,0,0,0,0
ui\CmdCreateNode.java,org.argouml.ui.CmdCreateNode,41,18,0,23,2,27
ui\CmdSetMode.java,org.argouml.ui.CmdSetMode,47,47,0,0,2,4
ui\DetailsPane.java,org.argouml.ui.DetailsPane,329,325,45,49,59,212
ui\DisplayTextTree.java,org.argouml.ui.DisplayTextTree,208,266,96,38,22,178
ui\ExceptionDialog.java,org.argouml.ui.ExceptionDialog,105,102,2,5,1,9
ui\FindDialog.java,org.argouml.ui.FindDialog,347,392,67,22,30,149
ui\SettingsTabEnvironment.java,org.argouml.ui.GResolution,14,14,0,0,0,0
ui\GUI.java,org.argouml.ui.GUI,34,31,2,5,8,23
ui\GotoDialog.java,org.argouml.ui.GotoDialog,28,28,0,0,1,2
ui\JasonsBigTheme.java,org.argouml.ui.JasonsBigTheme,34,34,0,0,0,0
ui\JasonsHugeTheme.java,org.argouml.ui.JasonsHugeTheme,34,34,0,0,0,0
ui\JasonsTheme.java,org.argouml.ui.JasonsTheme,34,34,0,0,0,0
ui\LookAndFeelMgr.java,org.argouml.ui.LookAndFeelMgr,226,226,0,0,0,0
ui\MultiEditorPane.java,org.argouml.ui.MultiEditorPane,132,140,9,1,7,24
ui\SettingsTabAppearance.java,org.argouml.ui.MyLocale,44,40,0,4,5,14
ui\NavigatorPane.java,org.argouml.ui.NavigatorPane,36,38,6,4,2,14
ui\PerspectiveSupport.java,org.argouml.ui.PerspectiveSupport,36,48,12,0,11,34
ui\FindDialog.java,org.argouml.ui.PredicateMType,37,38,1,0,0,1
ui\ProjectBrowser.java,org.argouml.ui.ProjectBrowser,1059,1150,183,92,107,489
ui\ProjectSettingsDialog.java,org.argouml.ui.ProjectSettingsDialog,126,134,8,0,1,10
ui\ProjectSettingsTabProperties.java,org.argouml.ui.ProjectSettingsTabProperties,76,76,0,0,0,0
ui\SettingsDialog.java,org.argouml.ui.SettingsDialog,108,94,3,17,12,44
ui\SettingsTabAppearance.java,org.argouml.ui.SettingsTabAppearance,99,101,2,0,1,4
